,Kürzel,Status Nr. ,Bemerkung,Labornummer,Jahr,Datum,Dauer,Mittl.Abfluss,Abflussumme,Temp.(BAFU),pH(BAFU),Leitf. 25°C(BAFU),Sauerstoff,Sauerstoffsätt.%,Mittl.Abfluss.1,Abflussumme.1,Temp.(BAFU).1,pH(BAFU).1,Leitf. 25°C(BAFU).1,Sauerstoff.1,Sauerstoffsätt.%.1,pH (EAWAG),Leitf.20°C (EAWAG),Gesamthärte,Alkalinität,Calcium,Magnesium,Nitrit,Nitrat,Ammonium,Kjeldahl-Stickstoff,Gesamt-Stickstoff (filtriert),Gesamt-Stickstoff,DRP,Gesamt-Phosphor,Gesamt-Phosphor (filtriert),Chlorid,Kieselsäure,Sulfat,Natrium,Kalium,Eisen,Chem.Sauerstoffbedarf,TOC,DOC,Schwebstoffe,Chrom,Zink,Kupfer,Cadmium,Blei,Nickel,Quecksilber,NP,NP1EO,NP2EO,NP3EO,Calcium (IC),Status Nr.,year,month,day
0,RE,7,,16354.0,1975,1975-05-26 11:15:00,168,,,,,,,,601.6523819444443,363.87936059999987,15.31463095238095,,,,,8,270,1.46,2.32,48.096,6.3232,0.02,0.4,0.05,,,,0.04,0.09,,4.4,3,29,4.8,1.4,0.04,,2.6,1.4,11,0.5,5,0.5,0.1,0.5,,,,,,,,,1975,5,26
1,RE,1,,16487.0,1975,1975-06-02 11:45:00,169,683,415.5372,13.7,,,,,683.280609297724,415.7079226967353,13.83261028684472,,,,,8.2,280,1.5,2.32,50.5008,5.8368,0.03,0.7,0.03,,,,0.07,0.18,,5.6,3,30,4.7,1.3,0.09,,2.2,1.8,6.5,0.5,10,2,0.1,1,,,,,,,,,1975,6,2
2,RE,4,Pb unsicher: Wartung oder Beginn von Hochwasser?,16619.0,1975,1975-06-09 10:40:00,167,680,408.816,13.4,,,,,680.2298441558439,408.95418230649335,13.230639360639376,,,,,8.1,290,1.52,2.6,51.3024,5.8368,0.03,0.7,0.01,,,,0.03,0.18,,6,4,29,4.8,1.3,0.06,,2.2,1.8,6.2,2,10,1,0.1,4,,,,,,,,,1975,6,9
3,RE,1,,16705.0,1975,1975-06-16 11:20:00,169,609,370.51560000000006,14.9,,,,,608.228251976285,370.04606850237184,14.958282608695653,,,,,8.2,280,1.52,2.44,48.8976,7.296,0.02,0.7,0.06,,,,0.04,0.18,,5.4,4,29,4.9,1.3,0.07,,2.4,1.8,1.2,0.5,10,1,0.1,1,,,,,,,,,1975,6,16
4,RE,1,,16843.0,1975,1975-06-23 13:30:00,170,735,449.82,14.4,,,,,734.6130714985313,449.58319975710117,14.330113614103809,,,,,7.9,270,1.58,2.48,53.7072,5.8368,0.02,0.8,0.02,,,,0.04,0.15,,5.4,4,29,4.6,1.5,0.16,,3.4,1.9,22,1,10,2,0.1,2,,,,,,,,,1975,6,23
5,RE,2,Problem mit Schöpfbecher,16892.0,1975,1975-06-30 13:30:00,168,853,515.8944,15.5,,,,,851.8308412698404,515.1872927999995,15.506075396825418,,,,,7.8,290,1.66,2.56,54.5088,7.296,0.01,0.9,0.01,,,,0.03,0.18,,5.4,4,22,4.9,1.6,0.52,,6.2,2.1,110,2,10,2,0.2,5,,,,,,,,,1975,6,30
6,RE,1,,16991.0,1975,1975-07-07 12:20:00,167,947,569.3364,15.1,,,,,947.297465534466,569.515236279321,15.005880119880125,,,,,8,270,1.7,2.52,51.3024,10.2144,0.01,0.8,0.01,0.2,,1.01,0.03,0.13,,5.4,4,28,4.4,1.4,0.26,,3,1.6,21,1,20,2,0.1,2,,,,,,,,,1975,7,7
7,RE,1,,17115.0,1975,1975-07-14 10:15:00,166,879,525.2904,17.3,,,,,879.5500732931753,525.6191238000016,17.02806927710842,,,,,7.8,270,1.52,2.4,49.6992,6.8096,0.03,0.6,0.06,0.25,,0.88,0.02,0.15,,5.8,3,32,4.3,1.4,0.14,,2.8,1.8,30,1,20,1,0.1,4,,,,,,,,,1975,7,14
8,RE,1,,17203.0,1975,1975-07-21 12:20:00,170,894,547.128,18.3,,,,,894.6790598039236,547.5435846000012,18.42163039215686,,,,,7.8,270,1.44,2.08,47.2944,6.3232,0.0025,0.4,0.05,0.35,,0.751,0.02,0.15,,4.8,2,30,4.1,1.4,0.18,,4,1.8,17,1,10,1,0.1,1,,,,,,,,,1975,7,21
9,RE,2,Flasche überlaufen 0.5l,17219.0,1975,1975-07-28 11:10:00,167,869,522.4428,18,,,,,869.0554705294713,522.4761488823183,17.92319680319682,,,,,7.8,250,1.5,2.28,46.4928,8.2688,0.0025,0.5,0.01,0.35,,0.852,0.01,0.1,,5,2,25,4.1,1.4,0.12,,2.4,1.8,7.7,1,10,5,0.1,2,,,,,,,,,1975,7,28
